Artist First Name,Artist Last Name,Artist Page ID,DOB,DOD,Known As,Description,Full Obit,Image,Photo Credit,Photo caption,Start time in mix,Song Name,,,,,,,,,
Doc,Watson,15344127,3/3/1923,5/29/2012,Traditional Music Legend.,The blind folk musician from North Carolina revolutionized how people play guitar as well as the way the world thinks about mountain music.,http://www.npr.org/blogs/therecord/2012/05/29/153697428/doc-watson-folk-music-icon-dies-at-89,http://www.npr.org/assets/img/2012/12/11/docwatson_john-cohen_hulton-archive_getty-images_archive.jpg,John Cohen/Getty Images,"American blues, folk, and country musician Doc Watson (born Arthel Lane Watson) in the 1960s",0:02:43,"""Tennesee Stud""",,8/27/1941,12/17/2011,Cape Verdean Singer,143893835,/assets/img/2011/12/17/gettyimages_98968487.jpg,Frans Schellekens/Redferns,CesariaEvora.mp3,"Charlie Louvin, ""See The Big Man Cry"""
Kitty ,Wells,,8/30/1919,7/16/2012,Pioneering Country Star.,Wells sang about the real problems of postwar life and the sad side of domesticity.,http://www.npr.org/blogs/therecord/2012/07/16/156869670/kitty-wells-pioneering-country-singer-dies,http://www.npr.org/assets/img/2012/12/11/kittywells_gab-archive_redferns_getty-images_archive.jpg,GAB Archive/Redferns,Kitty Wells in the 1950s.,0:02:58,"""It Wasn't God Who Made Honky Tonk Angels""",,,,,,,,,
Chavela,Vargas,158166744,4/17/1919,8/5/2012,Legend of Latin American Song.,"She was a cultural icon across the Spanish-speaking world, with a voice that redefined notions of beauty and an attitude that brashly bent gender roles.",http://www.npr.org/blogs/therecord/2012/08/06/158166344/chavela-vargas-legendary-ranchera-singer-has-died,http://www.npr.org/assets/img/2012/12/11/chavelavargas_jaime-razuri_afp_getty-images_archive.jpg,Jaime Razuri/AFP/GettyImages,Chavela Vargas performs in Peru in 2002 at age 83.,0:03:13,"""El Ultimo Trago""",,,,,,,,,
Marvin,Hamlisch,,6/2/1944,8/6/2012,Award-Winning Composer.,"He wrote music for The Sting, A Chorus Line and The Way We Were and won Emmys, Grammys, Oscars and a Tony award.",http://www.npr.org/blogs/therecord/2012/08/07/158364635/marvin-hamlisch-movie-and-broadway-composer-has-died,http://media.npr.org/assets/img/2012/08/07/gettyimages_1104609332_archive.jpg,Time & Life Pictures/Time Life Pictures/Getty Images,Marvin Hamlisch (left) with Liza Minnelli and Barry Manilow in 1987.,0:03:24,"""What I Did For Love"" from 'A Chorus Line'",,,,,,,,,
Von ,Freeman,15406153,10/3/1923,8/11/2012,Chicago Saxophone Godfather.,The tenorist was an icon in his home town’s jazz community and among aficionados worldwide.,http://www.npr.org/blogs/ablogsupreme/2012/08/13/158729811/saxophonist-von-freeman-a-chicagoan-from-beginning-to-end,http://www.npr.org/assets/img/2012/12/11/vonfreeman_frans-schellekens_redferns_redferns_archive.jpg,Frans Schellekens/Redferns,Von Freeman performs in Amsterdam in 1983.,0:03:35,"""If I Should Lose You""",,,,,,,,,
Chris ,Lighty,,5/8/1968,8/30/2012,Hip-Hop Executive.,"As a teenager he carried records for DJs. As a professional, he carried water for an industry and for a culture.",http://www.npr.org/blogs/therecord/2012/08/31/160357103/remembering-chris-lighty-hip-hop-leader-and-my-friend,http://media.npr.org/assets/img/2012/08/31/gettyimages_77549974.jpg,Johnny Nunez/WireImage,Chris Lighty with party guests in 2004.,0:03:45,"""What"" performed by A Tribe Called Quest",,,,,,,,,
Hal,David,126386486,5/25/1921,9/1/2012,Oscar and Grammy-winning Lyricist.,David is best known for his many collaborations with composer Burt Bacharach between the late 1950s and the mid-‘70s.,http://www.npr.org/2012/09/07/160748199/fresh-air-remembers-grammy-winner-hal-david,http://media.npr.org/assets/img/2012/12/12/haldavid_archive.jpg,Frank Driggs Collection/Getty Images,Hal David in a 1962 recording session with Dionne Warwick and Burt Bacharach.,0:03:51,"""Raindrops Keep Fallin' On My Head"" performed by BJ Thomas",,,,,,,,,
Andy,Williams,,12/3/1927,9/26/2012,&lsquo;Moon River&rsquo; Singer.,The clean-cut crooner and TV host had 18 gold albums. His hits that stretched from the '60s into the '90s.,http://www.npr.org/blogs/therecord/2012/09/26/161837995/moon-river-singer-andy-williams-has-died,http://media.npr.org/assets/img/2012/09/26/gettyimages_84900850.jpg,Tony Russell/Redferns,Andy Williams performing.,0:04:02,"""Moon River""",,,,,,,,,
Elliott,Carter,91330499,12/11/1908,11/5/2012,Giant of American Classical Music.,"The winner of two Pulitzer Prizes, the composer wrote acidic and witty music championed by the likes of Daniel Barenboim, Pierre Boulez and Yo-Yo Ma.",http://www.npr.org/blogs/deceptivecadence/2012/11/06/164364953/elliott-carter-giant-of-american-music-dies-at-103,http://media.npr.org/assets/img/2012/11/09/carter---credit-meredith-heuer-2000-b_archive.jpg,Meredith Heuer/courtesy of Boosey & Hawkes,Composer Elliott Carter.,0:04:16,"""Allegro fantastico""",,,,,,,,,
Dave ,Brubeck,15156676,12/6/1920,12/5/2012,Jazz Pianist.,"One of the most recognized and recognizable musicians of the postwar era, he made “Take Five” into a pop hit.",http://www.npr.org/blogs/therecord/2012/12/05/166571712/remembering-the-vital-force-of-jazz-pianist-dave-brubeck,http://media.npr.org/assets/img/2012/03/08/davebrubeck_archive.jpg,"Hulton Archive/Getty Images

",Dave Brubeck (at the piano) with The Dave Brubeck Quartet.,0:04:23,“Blue Rondo a la Turk”,,,,,,,,,
Jenni,Rivera,166895987,7/2/1969,12/9/2012,Banda Singer.,The Mexican –American singer was a household name and feminist presence in the Latin music world.,http://www.npr.org/blogs/therecord/2012/12/10/166895987/remembering-banda-diva-jenni-rivera,http://media.npr.org/assets/img/2012/12/10/jenni102way.jpg,Kevin Winter/Getty Images for LARAS,Singer Jenni Rivera at the 11th annual Latin GRAMMY Awards in 2010.,0:04:36,"""Ya Lo Se""",,,,,,,,,
Ravi,Shankar,17093771,4/7/1920,12/11/2012,Sitar Master.,"He played with Yehudi Menuhin, George Harrison and Philip Glass and influenced a world of musicians.",http://www.npr.org/blogs/therecord/2012/12/12/167019577/ravi-shankar-who-brought-eastern-music-to-western-legends-dies,http://media.npr.org/assets/img/2012/12/12/shankar_archive.jpg,Express Newspapers/Getty Images,Ravi Shankar playing the sitar in May 1966.,0:04:46,"""Dhun man pasan"" ",,,,,,,,,
